,Continent,Country Code,Country,Alcohol Consumption Per Capita (Liters),Climate,Main Industry,Region,Happiness Score,Life Expectancy,GDP per capita,Mental Health Disorders (%),Wine Consumption per capita (Liters)
48,Africa,GIN,Guinea,1.3,generally hot and humid; monsoonal-type rainy season (June to November) with southwesterly winds; dry season (December to May) with northeasterly harmattan winds,bauxite,Sub-Saharan Africa,4.949299812,54.46780014,7.750990391,11.53637149,0.02
49,North America,HTI,Haiti,5.8,tropical; semiarid where mountains in east cut off trade winds,textiles,Latin America and Caribbean,3.720799923,55.59862518,7.4113292689999986,13.51929446,0.02
50,North America,HND,Honduras,4.0,"subtropical in lowlands, temperate in mountains",sugar,Latin America and Caribbean,5.953199862999999,67.19876862,8.424534798,10.52199952,0.03
51,Europe,HUN,Hungary,11.4,"temperate; cold, cloudy, humid winters; warm summers",mining,Central and Eastern Europe,6.000400066,67.60997009,10.24924374,11.75884349,3.35
52,Europe,ISL,Iceland,9.1,"temperate; moderated by North Atlantic Current; mild, windy winters; damp, cool summers",fish processing,Western Europe,7.504499912000001,73.0,10.77255917,14.36137388,2.03
53,Asia,IND,India,5.7,varies from tropical monsoon in south to temperate in north,textiles,South Asia,3.573299885,60.21518707,8.849823952000001,15.23128555,0.0
54,Asia,IDN,Indonesia,0.8,"tropical; hot, humid; more moderate in highlands",petroleum and natural gas,Southeast Asia,5.285600185,62.15584946,9.36975193,11.67265784,0.0
55,Asia,IRN,Iran,1.0,"mostly arid or semiarid, subtropical along Caspian coast",petroleum,Middle East and North Africa,4.672399998,66.00614929,9.813719749,17.99456408,0.0
56,Asia,IRQ,Iraq,0.4,"mostly desert; mild to cool winters with dry, hot, cloudless summers; northern mountainous regions along Iranian and Turkish borders experience cold winters with occasionally heavy snows that melt in early spring, sometimes causing extensive flooding in central and southern Iraq",petroleum,Middle East and North Africa,4.7848000530000006,59.90354919,9.661095619,13.8951674,0.0
57,Europe,IRL,Ireland,13.0,"temperate maritime; modified by North Atlantic Current; mild winters, cool summers; consistently humid; overcast about half the time",pharmaceuticals,Western Europe,7.093699932000001,72.30078888,11.16097832,15.41412917,2.8
58,Asia,ISR,Israel,3.8,temperate; hot and dry in southern and eastern desert areas,high-technology products (including aviation,Middle East and North Africa,7.128600121,73.20025635,10.41752529,12.88284967,0.17
59,Europe,ITA,Italy,7.5,"predominantly Mediterranean; alpine in far north; hot, dry in south",tourism,Western Europe,6.38740015,73.60168457,10.48183632,15.21427259,4.97
60,North America,JAM,Jamaica,4.2,"tropical; hot, humid; temperate interior",tourism,Latin America and Caribbean,5.889800072000001,67.09999847,9.006250381000001,13.18570297,0.16
61,Asia,JPN,Japan,8.0,varies from tropical in south to cool temperate in north,among world's largest and technologically advanced producers of motor vehicles,East Asia,5.870800018,75.00096893,10.57968903,12.05653373,0.39
62,Europe,KAZ,Kazakhstan,7.7,"continental, cold winters and hot summers, arid and semiarid",oil,Commonwealth of Independent States,6.0578999520000005,64.60996246,10.11465836,11.11328626,0.35
63,Asia,JOR,Jordan,0.7,mostly arid desert; rainy season in west (November to April),clothing,Middle East and North Africa,4.6333999630000005,66.79975128,9.025999069,14.86578036,0.01
64,Africa,KEN,Kenya,3.4,varies from tropical along coast to arid in interior,small-scale consumer goods (plastic,Sub-Saharan Africa,4.583000183,60.09693146,8.02977562,12.4151403,0.04
65,Asia,KOR,South Korea,10.2,,electronics,East Asia,5.872399807000001,73.60272979999998,10.51056671,11.39637778,0.15
66,Asia,KWT,Kuwait,0.0,"dry desert; intensely hot summers; short, cool winters",petroleum,Middle East and North Africa,6.102099895,66.76764679,11.08982468,14.03549697,0.0
67,Asia,KGZ,Kyrgyzstan,6.2,dry continental to polar in high Tien Shan Mountains; subtropical in southwest (Fergana Valley); temperate in northern foothill zone,small machinery,Commonwealth of Independent States,5.541500092000001,64.10601044,8.148405075,11.06880956,0.09
68,Asia,LAO,Laos,10.4,tropical monsoon; rainy season (May to November); dry season (December to April),mining (copper,Southeast Asia,4.888599873,58.70992279,8.79858017,13.41133002,0.0
69,Asia,LBN,Lebanon,1.5,"Mediterranean; mild to cool, wet winters with hot, dry summers; the Lebanon Mountains experience heavy winter snows",banking,Middle East and North Africa,4.771500111,67.10658264,9.3617239,15.7604196,0.16
70,Africa,LSO,Lesotho,5.0,"temperate; cool to cold, dry winters; hot, wet summers",food,Sub-Saharan Africa,3.652800083,48.00362396,7.960488318999999,13.86770948,0.01
71,Europe,LVA,Latvia,12.9,"maritime; wet, moderate winters",processed foods,Central and Eastern Europe,5.949999809,66.8074646,10.17531967,12.05103117,1.1
72,Africa,LBR,Liberia,5.8,"tropical; hot, humid; dry winters with hot days and cool to cold nights; wet, cloudy summers with frequent heavy showers",rubber processing,Sub-Saharan Africa,4.557899952,56.09631348,7.054380417000001,11.78776693,0.05
73,Africa,LBY,Libya,0.0,"Mediterranean along coast; dry, extreme desert interior",petroleum,Middle East and North Africa,5.488800049,62.29999924,9.789815903,14.20183583,0.0
74,Europe,LTU,Lithuania,15.0,"transitional, between maritime and continental; wet, moderate winters and summers",metal-cutting machine tools,Central and Eastern Europe,6.215499877999999,67.29407501,10.34362602,12.24507181,1.5
75,Europe,LUX,Luxembourg,13.0,"modified continental with mild winters, cool summers",banking and financial services,Western Europe,7.237500191,72.59999847,11.45068073,14.96466061,4.75
76,Africa,MDG,Madagascar,1.9,"tropical along coast, temperate inland, arid in south",meat processing,Sub-Saharan Africa,4.165599823,59.10542679,7.281685829,12.88844124,0.1
77,Africa,MWI,Malawi,3.7,sub-tropical; rainy season (November to May); dry season (May to November),tobacco,Sub-Saharan Africa,3.538000107,57.59288788,7.062226295,12.47314767,0.02
78,Asia,MYS,Malaysia,0.9,tropical; annual southwest (April to October) and northeast (October to February) monsoons,Peninsular Malaysia - rubber and oil palm processing and manufacturing,Southeast Asia,5.384300232,67.10215759,10.26251888,12.14320306,0.01
79,Asia,MDV,Maldives,2.7,"tropical; hot, humid; dry, northeast monsoon (November to March); rainy, southwest monsoon (June to August)",tourism,South Asia,5.197599888,70.59999847,9.518632889,12.29830363,0.54
80,Africa,MLI,Mali,1.3,"subtropical to arid; hot and dry (February to June); rainy, humid, and mild (June to November); cool and dry (November to February)",food processing,Sub-Saharan Africa,4.729300021999999,51.72698212,7.629852295,11.43918028,0.01
81,Europe,MLT,Malta,8.1,"Mediterranean; mild, rainy winters; hot, dry summers",tourism,Western Europe,6.7727999689999985,72.19999695,10.53383827,14.47289918,3.25
82,Africa,MRT,Mauritania,0.0,"desert; constantly hot, dry, dusty",fish processing,Sub-Saharan Africa,4.374599934,57.01017761,8.233919144,11.49507133,0.0
83,Africa,MUS,Mauritius,3.6,"tropical, modified by southeast trade winds; warm, dry winter (May to November); hot, wet, humid summer (November to May)",food processing (largely sugar milling),Sub-Saharan Africa,6.101299762999999,66.40434265,9.956786156,11.94166342,0.3
84,North America,MEX,Mexico,6.5,varies from tropical to desert,food and beverages,Latin America and Caribbean,6.465000152999999,68.29902649,9.797797203,10.43235692,0.23
85,Asia,MNG,Mongolia,7.4,desert; continental (large daily and seasonal temperature ranges),construction and construction materials,East Asia,5.456200123,62.30448532,9.412186623,11.19896925,0.16
86,Europe,MDA,Moldova,15.2,"moderate winters, warm summers",sugar,Commonwealth of Independent States,5.607500076,65.01301575,8.776714325,11.74387441,4.9
