,Continent,Country Code,Country,Alcohol Consumption Per Capita (Liters),Climate,Region,Happiness Score,Life Expectancy,GDP per capita,Mental Health Disorders (%),Wine Consumption per capita (Liters),GDP Group
62,Africa,GMB,Gambia,3.8,,Sub-Saharan Africa,4.750599861,55.01201629999999,7.321814537000001,12.24553751,0.02,GDP up to 8
63,Europe,DEU,Germany,13.4,"temperate and marine; cool, cloudy, wet winters and summers; occasional warm mountain (foehn) wind",Western Europe,7.075799942000001,72.20201874,10.7328186,15.15150597,3.1,GDP up to 11
64,Africa,GHA,Ghana,2.7,tropical; warm and comparatively dry along southeast coast; hot and humid in southwest; hot and dry in north,Sub-Saharan Africa,5.1479997630000005,57.20398712,8.350645065,11.56856919,0.21,GDP up to 9
66,Europe,GRC,Greece,10.4,"temperate; mild, wet winters; hot, dry summers",Western Europe,5.514999866,72.40525818,10.13232613,15.32749818,3.92,GDP up to 11
68,North America,GTM,Guatemala,2.4,"tropical; hot, humid in lowlands; cooler in highlands",Latin America and Caribbean,6.398900032,64.8089447,8.924805641,11.08807518,0.04,GDP up to 9
69,Africa,GIN,Guinea,1.3,generally hot and humid; monsoonal-type rainy season (June to November) with southwesterly winds; dry season (December to May) with northeasterly harmattan winds,Sub-Saharan Africa,4.949299812,54.46780014,7.750990391,11.53637149,0.02,GDP up to 8
71,North America,HTI,Haiti,5.8,tropical; semiarid where mountains in east cut off trade winds,Latin America and Caribbean,3.720799923,55.59862518,7.4113292689999986,13.51929446,0.02,GDP up to 8
72,North America,HND,Honduras,4.0,"subtropical in lowlands, temperate in mountains",Latin America and Caribbean,5.953199862999999,67.19876862,8.424534798,10.52199952,0.03,GDP up to 9
73,Europe,HUN,Hungary,11.4,"temperate; cold, cloudy, humid winters; warm summers",Central and Eastern Europe,6.000400066,67.60997009,10.24924374,11.75884349,3.35,GDP up to 11
74,Europe,ISL,Iceland,9.1,"temperate; moderated by North Atlantic Current; mild, windy winters; damp, cool summers",Western Europe,7.504499912000001,73.0,10.77255917,14.36137388,2.03,GDP up to 11
75,Asia,IND,India,5.7,varies from tropical monsoon in south to temperate in north,South Asia,3.573299885,60.21518707,8.849823952000001,15.23128555,0.0,GDP up to 9
76,Asia,IDN,Indonesia,0.8,"tropical; hot, humid; more moderate in highlands",Southeast Asia,5.285600185,62.15584946,9.36975193,11.67265784,0.0,GDP up to 10
77,Asia,IRN,Iran,1.0,"mostly arid or semiarid, subtropical along Caspian coast",Middle East and North Africa,4.672399998,66.00614929,9.813719749,17.99456408,0.0,GDP up to 10
78,Asia,IRQ,Iraq,0.4,"mostly desert; mild to cool winters with dry, hot, cloudless summers; northern mountainous regions along Iranian and Turkish borders experience cold winters with occasionally heavy snows that melt in early spring, sometimes causing extensive flooding in central and southern Iraq",Middle East and North Africa,4.7848000530000006,59.90354919,9.661095619,13.8951674,0.0,GDP up to 10
79,Europe,IRL,Ireland,13.0,"temperate maritime; modified by North Atlantic Current; mild winters, cool summers; consistently humid; overcast about half the time",Western Europe,7.093699932000001,72.30078888,11.16097832,15.41412917,2.8,GDP up to 12
80,Asia,ISR,Israel,3.8,temperate; hot and dry in southern and eastern desert areas,Middle East and North Africa,7.128600121,73.20025635,10.41752529,12.88284967,0.17,GDP up to 11
81,Europe,ITA,Italy,7.5,"predominantly Mediterranean; alpine in far north; hot, dry in south",Western Europe,6.38740015,73.60168457,10.48183632,15.21427259,4.97,GDP up to 11
83,North America,JAM,Jamaica,4.2,"tropical; hot, humid; temperate interior",Latin America and Caribbean,5.889800072000001,67.09999847,9.006250381000001,13.18570297,0.16,GDP up to 10
84,Asia,JPN,Japan,8.0,varies from tropical in south to cool temperate in north,East Asia,5.870800018,75.00096893,10.57968903,12.05653373,0.39,GDP up to 11
85,Europe,KAZ,Kazakhstan,7.7,"continental, cold winters and hot summers, arid and semiarid",Commonwealth of Independent States,6.0578999520000005,64.60996246,10.11465836,11.11328626,0.35,GDP up to 11
86,Asia,JOR,Jordan,0.7,mostly arid desert; rainy season in west (November to April),Middle East and North Africa,4.6333999630000005,66.79975128,9.025999069,14.86578036,0.01,GDP up to 10
87,Africa,KEN,Kenya,3.4,varies from tropical along coast to arid in interior,Sub-Saharan Africa,4.583000183,60.09693146,8.02977562,12.4151403,0.04,GDP up to 9
89,Asia,KOR,South Korea,10.2,,East Asia,5.872399807000001,73.60272979999998,10.51056671,11.39637778,0.15,GDP up to 11
90,Asia,KWT,Kuwait,0.0,"dry desert; intensely hot summers; short, cool winters",Middle East and North Africa,6.102099895,66.76764679,11.08982468,14.03549697,0.0,GDP up to 12
91,Asia,KGZ,Kyrgyzstan,6.2,dry continental to polar in high Tien Shan Mountains; subtropical in southwest (Fergana Valley); temperate in northern foothill zone,Commonwealth of Independent States,5.541500092000001,64.10601044,8.148405075,11.06880956,0.09,GDP up to 9
